itemID,name,price,category,description,isAvailable
B01,Classic Buttermilk Pancakes,8.50,Breakfast,Three fluffy pancakes served with maple syrup and butter,TRUE
B02,Avocado Toast,11.00,Breakfast,Sourdough topped with smashed avocado and a poached egg,TRUE
B03,Breakfast Burrito,9.50,Breakfast,Scrambled eggs with sausage and peppers in a flour tortilla,TRUE
B04,Brioche French Toast,10.00,Breakfast,Thick slices of brioche with cinnamon and fresh berries,TRUE
B05,Greek Yogurt Parfait,7.50,Breakfast,Honey yogurt layered with granola and seasonal fruit,TRUE
B06,Classic Eggs Benedict,13.50,Breakfast,Poached eggs and Canadian bacon on English muffins,TRUE
B07,Steel Cut Oatmeal,6.50,Breakfast,Warm oats topped with brown sugar and toasted walnuts,TRUE
B08,Smoked Salmon Bagel,12.00,Breakfast,Everything bagel with cream cheese and capers,TRUE
B09,Garden Veggie Omelet,10.50,Breakfast,Three eggs with spinach mushrooms and bell peppers,TRUE
B10,Belgian Waffle,9.00,Breakfast,Deep-pocketed waffle with whipped cream and strawberries,TRUE
B11,Steak and Eggs,16.00,Breakfast,6oz sirloin served with two eggs any style,TRUE
B12,Chorizo Scramble,11.00,Breakfast,Spicy chorizo mixed with eggs and topped with salsa,TRUE
B13,Breakfast Quesadilla,9.00,Breakfast,Melted cheese and scrambled eggs in a toasted tortilla,TRUE
B14,Western Omelet,11.50,Breakfast,Ham onions and peppers with melted cheddar cheese,TRUE
B15,Fruit & Nut Muesli,8.00,Breakfast,Chilled oats with dried fruit and almond slivers,TRUE
B16,Corned Beef Hash,12.50,Breakfast,Crispy potatoes with seasoned beef and two poached eggs,TRUE
B17,Shakshuka,13.00,Breakfast,Poached eggs in a spicy tomato and pepper sauce,TRUE
B18,Turkey Sausage Skillet,11.00,Breakfast,Potatoes and turkey sausage topped with melted jack,TRUE
B19,Everything Bagel Sandwich,8.50,Breakfast,Fried egg bacon and cheddar on a toasted bagel,TRUE
B20,Blueberry Muffin,3.50,Breakfast,Freshly baked muffin bursting with local blueberries,TRUE
L01,Grilled Chicken Wrap,12.00,Lunch,Grilled chicken with ranch and crisp romaine lettuce,TRUE
L02,Classic Caesar Salad,10.50,Lunch,Romaine lettuce with parmesan and house-made croutons,TRUE
L03,Margherita Pizza,14.00,Lunch,Hand-tossed dough with fresh tomato sauce and mozzarella,TRUE
L04,Turkey Club Sandwich,11.50,Lunch,Triple-decker sandwich with roasted turkey and crispy bacon,TRUE
L05,Roasted Quinoa Bowl,12.50,Lunch,Quinoa topped with roasted veggies and lemon tahini,TRUE
L06,Beef Slider Trio,13.00,Lunch,Three mini wagyu burgers with caramelized onions,TRUE
L07,Tomato Basil Soup,6.00,Lunch,Creamy tomato soup served with a grilled cheese wedge,TRUE
L08,Falafel Pita,11.00,Lunch,Crispy falafel with cucumber salad and garlic sauce,TRUE
L09,BBLT Sandwich,10.00,Lunch,Double bacon lettuce and tomato on toasted white bread,TRUE
L10,Asian Crunch Salad,11.50,Lunch,Cabbage and carrots with sesame ginger dressing,TRUE
L11,Cuban Sandwich,13.00,Lunch,Pulled pork ham and pickles on pressed bread,TRUE
L12,Fish Tacos,14.50,Lunch,Three cod tacos with slaw and lime crema,TRUE
L13,Pesto Pasta Salad,9.50,Lunch,Rotini pasta with basil pesto and cherry tomatoes,TRUE
L14,Buffalo Chicken Salad,12.50,Lunch,Spicy chicken over mixed greens with blue cheese,TRUE
L15,Steak Chimichurri Wrap,15.00,Lunch,Sliced steak with greens and zesty herb sauce,TRUE
L16,Caprese Panini,11.00,Lunch,Fresh mozzarella tomato and balsamic glaze,TRUE
L17,Shrimp Po Boy,15.50,Lunch,Fried shrimp on a hoagie roll with spicy remoulade,TRUE
L18,Greek Salad,11.00,Lunch,Kalamata olives feta and cucumbers with oregano lemon,TRUE
L19,BBQ Pulled Pork Sando,12.50,Lunch,Slow-cooked pork on a brioche bun with slaw,TRUE
L20,Mushroom Swiss Burger,13.50,Lunch,Beef patty topped with sautéed mushrooms and swiss,TRUE
D01,Ribeye Steak,28.00,Dinner,12oz grilled steak served with garlic mashed potatoes,TRUE
D02,Pan-Seared Salmon,24.50,Dinner,Fresh Atlantic salmon with roasted asparagus,TRUE
D03,Pasta Carbonara,18.00,Dinner,Creamy egg sauce with guanciale and aged pecorino,TRUE
D04,Yellow Vegetable Curry,16.50,Dinner,Spiced coconut milk curry served with jasmine rice,TRUE
D05,Grilled Lamb Chops,26.00,Dinner,Tender lamb chops finished with a mint chimichurri,TRUE
D06,Truffle Mushroom Risotto,19.00,Dinner,Slow-cooked arborio rice with wild mushrooms and truffle oil,TRUE
D07,Roasted Half Chicken,21.00,Dinner,Herb-rubbed chicken served with root vegetables,TRUE
